learning_rate,exec_time (s),training_loss
0.0001,14.47,0.7363
0.0001,10.26,0.1001
0.0001,10.22,0.0077
0.0001,10.52,0.0035
0.0001,10.31,0.0017
0.0001,10.26,0.0013
0.0001,10.25,0.0009
0.0001,10.27,0.0006
0.0001,10.23,0.0004
0.0001,10.27,0.0003
0.0001,10.32,0.0002
0.0001,10.28,0.0002
0.0001,10.21,0.0002
0.0001,10.19,0.0002
0.0001,10.25,0.0001
0.0001,10.25,0.0001
0.0001,10.29,0.0001
0.0001,10.24,0.0001
0.0001,10.29,0.0001
0.0001,10.26,0.0001
0.0001,10.27,0.0001
0.0001,10.28,0.0001
0.0001,10.29,0.0001
0.0001,10.3,0.0
0.0001,10.35,0.0
0.0001,10.23,0.0
0.0001,10.25,0.0
0.0001,10.26,0.0
0.0001,10.25,0.0
0.0001,10.25,0.0
